Species,N,M,P,n,Mean,SD,Minimum,Maximum
Phytolacca_americana,4,No microbes,Native,3,50.6,9.5,39.8,56.6
Phytolacca_americana,4,No microbes,Invasive,3,15.9,5.1,10.9,21
Phytolacca_americana,4,Microbes,Native,3,51.9,10.3,40.6,60.6
Phytolacca_americana,4,Microbes,Invasive,3,24.2,12.8,10.3,35.5
Phytolacca_americana,8,No microbes,Native,3,126,54.7,79.4,186.3
Phytolacca_americana,8,No microbes,Invasive,3,474.6,179.9,271.5,613.9
Phytolacca_americana,8,Microbes,Native,3,127.9,33.1,90.3,152.8
Phytolacca_americana,8,Microbes,Invasive,3,146.7,75.7,85.8,231.5
Phytolacca_americana,16,No microbes,Native,3,308.4,78.2,233.4,389.5
Phytolacca_americana,16,No microbes,Invasive,3,1356.8,1009.6,192,1979.8
Phytolacca_americana,16,Microbes,Native,3,292.3,139.7,131.5,383.9
Phytolacca_americana,16,Microbes,Invasive,3,1249.1,676.7,468.8,1675
Phytolacca_americana,32,No microbes,Native,3,477.7,135.9,361.3,627.1
Phytolacca_americana,32,No microbes,Invasive,3,950.5,607.6,445.1,1624.6
Phytolacca_americana,32,Microbes,Native,3,300.7,177,114.3,466.6
Phytolacca_americana,32,Microbes,Invasive,3,775.9,566.3,192.1,1322.8
Phytolacca_americana,64,No microbes,Native,3,499.5,123.3,406.9,639.4
Phytolacca_americana,64,No microbes,Invasive,3,875.9,546.1,379.4,1460.8
Phytolacca_americana,64,Microbes,Native,3,375.2,74.6,290.5,431.3
Phytolacca_americana,64,Microbes,Invasive,3,1118.7,392.9,719.1,1504.5
