Species,N,M,P,n,Mean,SD,Minimum,Maximum
Solidago_gigantea,4,No microbes,Native,3,50.6,9.5,39.8,56.6
Solidago_gigantea,4,No microbes,Invasive,3,203.1,111.1,112.5,327
Solidago_gigantea,4,Microbes,Native,3,33.8,10.3,27.8,45.7
Solidago_gigantea,4,Microbes,Invasive,3,98.6,53.5,50.4,156.1
Solidago_gigantea,8,No microbes,Native,3,126,54.7,79.4,186.3
Solidago_gigantea,8,No microbes,Invasive,3,470.5,139.7,309.5,559
Solidago_gigantea,8,Microbes,Native,3,73,11.8,60.6,84.2
Solidago_gigantea,8,Microbes,Invasive,3,482.9,22,463.7,506.9
Solidago_gigantea,16,No microbes,Native,3,308.4,78.2,233.4,389.5
Solidago_gigantea,16,No microbes,Invasive,3,564.2,284,241.3,775.2
Solidago_gigantea,16,Microbes,Native,3,217.9,40.3,189.3,263.9
Solidago_gigantea,16,Microbes,Invasive,3,844.5,106.4,745.4,957
Solidago_gigantea,32,No microbes,Native,3,477.7,135.9,361.3,627.1
Solidago_gigantea,32,No microbes,Invasive,3,881.5,243.7,681.7,1153
Solidago_gigantea,32,Microbes,Native,3,324.1,63.9,257.6,385.1
Solidago_gigantea,32,Microbes,Invasive,3,993.4,243.9,741.8,1228.7
Solidago_gigantea,64,No microbes,Native,3,499.5,123.3,406.9,639.4
Solidago_gigantea,64,No microbes,Invasive,3,912.9,106.4,817.5,1027.7
Solidago_gigantea,64,Microbes,Native,3,345.8,58.3,283,398.2
Solidago_gigantea,64,Microbes,Invasive,3,733.6,426.9,313.8,1167.2
