Species,Term,Estimate,SE,t,P-value
Erigeron_canadensis,(Intercept),3.9122646282512656,0.2395023755788263,16.334972122076678,2.6900515910100938e-20
Erigeron_canadensis,"bs(N, df = 3, degree = 1)1",0.948447402786801,0.3240750834574044,2.926628584549798,0.005404359479463133
Erigeron_canadensis,"bs(N, df = 3, degree = 1)2",2.3152097610207747,0.3244992596939551,7.134715078254162,7.258915248807412e-9
Erigeron_canadensis,"bs(N, df = 3, degree = 1)3",2.282048586378445,0.33870750776415076,6.73751993701741,2.7753977396913615e-8
Erigeron_canadensis,M1,-0.5532796506537014,0.3387075077641505,-1.6335027655748402,0.1094997115690349
Erigeron_canadensis,P1,0.5633318712766113,0.33870750776415026,1.6631809403790132,0.10338425383788198
Erigeron_canadensis,"bs(N, df = 3, degree = 1)1:M1",0.2946480451820035,0.4583113782526536,0.6428992583718327,0.523625818332546
Erigeron_canadensis,"bs(N, df = 3, degree = 1)2:M1",0.18836089278460774,0.45891125403921995,0.4104516747556377,0.6834665771526061
Erigeron_canadensis,"bs(N, df = 3, degree = 1)3:M1",0.26056382202060335,0.47900475115765223,0.543969180662355,0.5892086660679005
Erigeron_canadensis,"bs(N, df = 3, degree = 1)1:P1",0.1875874828996194,0.45831137825265383,0.40930138722457776,0.6843041846548215
Erigeron_canadensis,"bs(N, df = 3, degree = 1)2:P1",-0.029788498199241294,0.4589112540392194,-0.06491123923645488,0.9485386970367542
Erigeron_canadensis,"bs(N, df = 3, degree = 1)3:P1",-0.3983834506024834,0.47900475115765234,-0.831689977269903,0.41007500145067266
Erigeron_canadensis,M1:P1,0.09078353689132648,0.47900475115765173,0.18952533700745589,0.8505527030718193
Erigeron_canadensis,"bs(N, df = 3, degree = 1)1:M1:P1",0.10910920452308628,0.6481501669148088,0.16833939122849492,0.8670877240704369
Erigeron_canadensis,"bs(N, df = 3, degree = 1)2:M1:P1",0.4345295987114431,0.6489985193879093,0.6695386595354046,0.50665037392371
Erigeron_canadensis,"bs(N, df = 3, degree = 1)3:M1:P1",0.13213341131701486,0.6774150155283012,0.19505533282867504,0.8462475482347609
