Species,Term,Estimate,SE,t,P-value
Solidago_gigantea,(Intercept),3.9020139185698848,0.19476614653075738,20.034353957676522,9.622505341789272e-24
Solidago_gigantea,"bs(N, df = 3, degree = 2)1",0.9542276925403333,0.40462110899969755,2.358324050120298,0.022865758034294272
Solidago_gigantea,"bs(N, df = 3, degree = 2)2",2.5448104219207197,0.355632088433035,7.155739047996238,6.762776942481218e-9
Solidago_gigantea,"bs(N, df = 3, degree = 2)3",2.2819748402656286,0.2774482308303272,8.224867152464075,1.9221956844910173e-10
Solidago_gigantea,M1,-0.43112203147154243,0.2754409259149424,-1.5652068770806964,0.1246989860568485
Solidago_gigantea,P1,1.3447959773081961,0.27544092591494185,4.882339009140126,1.4207071173427782e-5
Solidago_gigantea,"bs(N, df = 3, degree = 2)1:M1",-0.06490356516935529,0.5722206599698144,-0.11342401578576185,0.9102103527533525
Solidago_gigantea,"bs(N, df = 3, degree = 2)2:M1",0.1387262670901108,0.5029397226770657,0.2758308020525673,0.7839694010390987
Solidago_gigantea,"bs(N, df = 3, degree = 2)3:M1",0.06301514507273287,0.3923710508966697,0.1606009029685725,0.8731428358588782
Solidago_gigantea,"bs(N, df = 3, degree = 2)1:P1",-0.03484500568530302,0.5722206599698136,-0.06089435094346506,0.9517191096048364
Solidago_gigantea,"bs(N, df = 3, degree = 2)2:P1",-1.149629485450554,0.5029397226770652,-2.2858196193596836,0.027137480951019078
Solidago_gigantea,"bs(N, df = 3, degree = 2)3:P1",-0.6854010508510934,0.39237105089666957,-1.7468186026588208,0.08764661371993993
Solidago_gigantea,M1:P1,-0.315093850584716,0.38953229306151393,-0.808903026006517,0.42292346119065816
Solidago_gigantea,"bs(N, df = 3, degree = 2)1:M1:P1",1.246509690580852,0.8092422179993933,1.5403418937564457,0.13063873495567793
Solidago_gigantea,"bs(N, df = 3, degree = 2)2:M1:P1",0.9842684880851795,0.7112641768660691,1.3838296938023873,0.17339075757253553
Solidago_gigantea,"bs(N, df = 3, degree = 2)3:M1:P1",0.31595081208221676,0.5548964616606541,0.5693869647981931,0.5719890919292535
