Species,Term,Estimate,SE,t,P-value
Sporobolus_indicus,(Intercept),3.8891263626363184,0.2221798658753637,17.504405033793667,1.782896963136441e-22
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1",1.8638741740518971,0.33027636539676447,5.643377393392366,8.747457806041669e-7
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2",2.372487570738536,0.3085094300518266,7.690162243468476,6.492124050587422e-10
Sporobolus_indicus,M1,-0.4356105790217403,0.3142097796071742,-1.3863686215188515,0.17204061939661414
Sporobolus_indicus,P1,0.012386064906906417,0.3142097796071736,0.03941973073655291,0.9687192525522236
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1:M1",0.2669537980320153,0.4670813152753961,0.5715360244599306,0.5703031096502437
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2:M1",-0.25641997558931656,0.43629822009928676,-0.5877172167490484,0.5594770373165565
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1:P1",0.10449078065943697,0.4670813152753952,0.22371004200377465,0.8239323605245388
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2:P1",-0.8477288122502591,0.43629822009928654,-1.9430031414231876,0.05789329229261045
Sporobolus_indicus,M1:P1,0.4132711024187324,0.44435973175072657,0.9300372488535166,0.3570057598679336
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1:M1:P1",-0.4579704640816703,0.6605527307935278,-0.6933140122386692,0.49145390303237135
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2:M1:P1",0.7319073238170529,0.6170188601036529,1.1861992738667662,0.24138207997322722
