Species,N,M,I,n,Mean,SD,Minimum,Maximum
Erigeron_canadensis,4,No microbes,Native alone,3,50.6,9.5,39.8,56.6
Erigeron_canadensis,4,No microbes,Native + invasive,3,52.4,25.1,28.1,78.3
Erigeron_canadensis,4,Microbes,Native alone,3,28.9,3.2,25.2,30.9
Erigeron_canadensis,4,Microbes,Native + invasive,3,37.6,11.2,28.7,50.2
Erigeron_canadensis,8,No microbes,Native alone,3,126,54.7,79.4,186.3
Erigeron_canadensis,8,No microbes,Native + invasive,3,124,36.2,91.4,162.9
Erigeron_canadensis,8,Microbes,Native alone,3,87.4,30.1,55.8,115.8
Erigeron_canadensis,8,Microbes,Native + invasive,3,54.1,31.4,35.9,90.4
Erigeron_canadensis,16,No microbes,Native alone,3,308.4,78.2,233.4,389.5
Erigeron_canadensis,16,No microbes,Native + invasive,3,287.6,51.5,250.8,346.5
Erigeron_canadensis,16,Microbes,Native alone,3,267.3,52.6,234.9,328
Erigeron_canadensis,16,Microbes,Native + invasive,3,245.5,72,171.9,315.8
Erigeron_canadensis,32,No microbes,Native alone,3,477.7,135.9,361.3,627.1
Erigeron_canadensis,32,No microbes,Native + invasive,3,383.1,93.9,303.3,486.5
Erigeron_canadensis,32,Microbes,Native alone,3,313.6,122.8,183.4,427.5
Erigeron_canadensis,32,Microbes,Native + invasive,3,222.4,100.1,129.7,328.6
Erigeron_canadensis,64,No microbes,Native alone,3,499.5,123.3,406.9,639.4
Erigeron_canadensis,64,No microbes,Native + invasive,3,432,170.3,247.7,583.5
Erigeron_canadensis,64,Microbes,Native alone,3,366.6,32.8,330.2,394
Erigeron_canadensis,64,Microbes,Native + invasive,3,302.4,56,242.5,353.5
