Species,N,M,I,n,Mean,SD,Minimum,Maximum
Solidago_gigantea,4,No microbes,Native alone,3,50.6,9.5,39.8,56.6
Solidago_gigantea,4,No microbes,Native + invasive,3,25.9,0.5,25.4,26.4
Solidago_gigantea,4,Microbes,Native alone,3,33.8,10.3,27.8,45.7
Solidago_gigantea,4,Microbes,Native + invasive,3,18.8,12,5.8,29.6
Solidago_gigantea,8,No microbes,Native alone,3,126,54.7,79.4,186.3
Solidago_gigantea,8,No microbes,Native + invasive,3,91.8,37.9,58.7,133.2
Solidago_gigantea,8,Microbes,Native alone,3,73,11.8,60.6,84.2
Solidago_gigantea,8,Microbes,Native + invasive,3,106.2,23.6,80.7,127.3
Solidago_gigantea,16,No microbes,Native alone,3,308.4,78.2,233.4,389.5
Solidago_gigantea,16,No microbes,Native + invasive,3,234.5,66.5,157.9,277.3
Solidago_gigantea,16,Microbes,Native alone,3,217.9,40.3,189.3,263.9
Solidago_gigantea,16,Microbes,Native + invasive,3,169.9,38.4,144.9,214.1
Solidago_gigantea,32,No microbes,Native alone,3,477.7,135.9,361.3,627.1
Solidago_gigantea,32,No microbes,Native + invasive,3,318.2,63.3,247.8,370.2
Solidago_gigantea,32,Microbes,Native alone,3,324.1,63.9,257.6,385.1
Solidago_gigantea,32,Microbes,Native + invasive,3,227.9,137.8,97.2,371.9
Solidago_gigantea,64,No microbes,Native alone,3,499.5,123.3,406.9,639.4
Solidago_gigantea,64,No microbes,Native + invasive,3,443.4,124.2,307.1,550.2
Solidago_gigantea,64,Microbes,Native alone,3,345.8,58.3,283,398.2
Solidago_gigantea,64,Microbes,Native + invasive,3,147.4,71.7,68.5,208.7
