Repetition_nr;Nitrogen_level;Soil_conditioning;Setup_IAN;Invasive_species;Species;Status;Shoot_dry_weight;Root_dry_weight
1;4;C;I;Solidago_gigantea;Invasive;I;114,4;55,4
2;4;C;I;Solidago_gigantea;Invasive;I;216,3;110,7
3;4;C;I;Solidago_gigantea;Invasive;I;85;27,5
1;8;C;I;Solidago_gigantea;Invasive;I;262,2;47,3
2;8;C;I;Solidago_gigantea;Invasive;I;416,6;142,4
3;8;C;I;Solidago_gigantea;Invasive;I;384,5;158,6
1;16;C;I;Solidago_gigantea;Invasive;I;520,7;254,5
2;16;C;I;Solidago_gigantea;Invasive;I;189,6;51,7
3;16;C;I;Solidago_gigantea;Invasive;I;477,9;198,3
1;32;C;I;Solidago_gigantea;Invasive;I;877,1;275,9
2;32;C;I;Solidago_gigantea;Invasive;I;516,2;165,5
3;32;C;I;Solidago_gigantea;Invasive;I;568,1;241,8
1;64;C;I;Solidago_gigantea;Invasive;I;539,9;277,6
2;64;C;I;Solidago_gigantea;Invasive;I;726,6;301,1
3;64;C;I;Solidago_gigantea;Invasive;I;684,6;209
1;4;T;I;Solidago_gigantea;Invasive;I;51,4;38
2;4;T;I;Solidago_gigantea;Invasive;I;37,1;13,3
3;4;T;I;Solidago_gigantea;Invasive;I;115,9;40,2
1;8;T;I;Solidago_gigantea;Invasive;I;375,4;131,5
2;8;T;I;Solidago_gigantea;Invasive;I;296,4;167,3
3;8;T;I;Solidago_gigantea;Invasive;I;367,6;110,6
1;16;T;I;Solidago_gigantea;Invasive;I;640,4;190,8
2;16;T;I;Solidago_gigantea;Invasive;I;713,4;243,6
3;16;T;I;Solidago_gigantea;Invasive;I;591,1;154,3
1;32;T;I;Solidago_gigantea;Invasive;I;648,9;360,9
2;32;T;I;Solidago_gigantea;Invasive;I;957;271,7
3;32;T;I;Solidago_gigantea;Invasive;I;541,7;200,1
1;64;T;I;Solidago_gigantea;Invasive;I;561,7;158
2;64;T;I;Solidago_gigantea;Invasive;I;258;55,8
3;64;T;I;Solidago_gigantea;Invasive;I;901,8;265,4
1;4;C;A;Solidago_gigantea;Invasive;I;24,8;2,7
1;4;C;A;Solidago_gigantea;Agrostis;N;1,4;0
1;4;C;A;Solidago_gigantea;Centaurea;N;52,1;27,4
1;4;C;A;Solidago_gigantea;Plantago;N;12,7;6,8
1;4;C;A;Solidago_gigantea;Ranunculus;N;1;0
2;4;C;A;Solidago_gigantea;Invasive;I;30,4;2,3
2;4;C;A;Solidago_gigantea;Agrostis;N;0,8;0
2;4;C;A;Solidago_gigantea;Centaurea;N;55;35,2
2;4;C;A;Solidago_gigantea;Plantago;N;8;2
2;4;C;A;Solidago_gigantea;Ranunculus;N;3;0
3;4;C;A;Solidago_gigantea;Invasive;I;74,3;22,1
3;4;C;A;Solidago_gigantea;Agrostis;N;5,2;2,8
3;4;C;A;Solidago_gigantea;Centaurea;N;31,3;20,2
3;4;C;A;Solidago_gigantea;Plantago;N;27,8;18,4
3;4;C;A;Solidago_gigantea;Ranunculus;N;0;0
1;8;C;A;Solidago_gigantea;Invasive;I;185,3;93,2
1;8;C;A;Solidago_gigantea;Agrostis;N;2,5;2,8
1;8;C;A;Solidago_gigantea;Centaurea;N;148,5;204,6
1;8;C;A;Solidago_gigantea;Plantago;N;121,8;52,6
1;8;C;A;Solidago_gigantea;Ranunculus;N;0;0
2;8;C;A;Solidago_gigantea;Invasive;I;25,9;8,3
2;8;C;A;Solidago_gigantea;Agrostis;N;7,9;3,8
2;8;C;A;Solidago_gigantea;Centaurea;N;71,8;36,3
2;8;C;A;Solidago_gigantea;Plantago;N;79,5;35,5
2;8;C;A;Solidago_gigantea;Ranunculus;N;0;0
